latency,duration,type,marker_value,key,timestamp,marker_id
9.159034,0.000000,speech_start,1,-1,1725618185.158717,1
11.157936,0.000000,speech_end,1,-1,1725618187.157619,2
18.157999,0.000000,imagine_start,1,-1,1725618194.157682,3
20.156902,0.000000,imagine_end,1,-1,1725618196.156585,4
29.604840,0.000000,speech_start,1,-1,1725618205.604523,5
31.603742,0.000000,speech_end,1,-1,1725618207.603425,6
38.603805,0.000000,imagine_start,1,-1,1725618214.603488,7
40.602708,0.000000,imagine_end,1,-1,1725618216.602391,8
50.253659,0.000000,speech_start,1,-1,1725618226.253342,9
52.252561,0.000000,speech_end,1,-1,1725618228.252244,10
59.252624,0.000000,imagine_start,1,-1,1725618235.252307,11
61.251527,0.000000,imagine_end,1,-1,1725618237.251210,12
70.621383,0.000000,speech_start,1,-1,1725618246.621066,13
72.604669,0.000000,speech_end,1,-1,1725618248.604352,14
79.620348,0.000000,imagine_start,1,-1,1725618255.620031,15
81.619251,0.000000,imagine_end,1,-1,1725618257.618934,16
91.254585,0.000000,speech_start,1,-1,1725618267.254268,17
93.253488,0.000000,speech_end,1,-1,1725618269.253171,18
100.253551,0.000000,imagine_start,1,-1,1725618276.253234,19
102.256357,0.000000,imagine_end,1,-1,1725618278.256040,20
